bf,HR,BV,UB
78 Psc,327,0.4,-0.01
30 Mu Cas,321,0.69,0.09
80 Psc,330,0.34,0
Zeta Phe,338,-0.08,-0.41
,326,-0.01,-0.27
31 Eta Cet,334,1.16,1.19
,285,1.21,1.33
,312,,
42 Phi And,335,-0.07,-0.34
43 Beta And,337,1.58,1.96
81 Psi3 Psc,339,0.69,
,350,0.89,
,344,1.49,
32 Cet,346,1.04,0.87
44 And,340,0.6,
,341,1.47,1.82
33 Cet,347,1.51,1.87
31 Cas,336,-0.02,-0.06
33 Theta Cas,343,0.17,0.12
82 Psc,349,0.23,
45 And,348,-0.1,-0.4
,342,-0.07,-0.13
84 Chi Psc,351,1.03,0.82
83 Tau Psc,352,1.09,1.01
32 Cas,345,-0.09,-0.28
34 Cet,353,1.4,1.68
,333,0.01,0.03
,358,0.48,0.03
,355,1.64,2.03
,359,0.28,0.12
,356,1,0.75
,354,0.01,-0.27
86 Zeta Psc,361,0.32,0.09
85 Phi Psc,360,1.04,0.85
86 Zeta Psc,362,0.49,0.01
,363,1.7,1.87
87 Psc,364,-0.08,-0.41
37 Cet,366,0.46,-0.05
88 Psc,367,1.08,1.02
38 Cet,368,0.42,-0.02
Nu Phe,370,0.58,0.11
Kappa Tuc,377,0.47,0.03
,365,0.78,0.35
,306,1.12,0.99
,371,1.15,
,369,-0.05,-0.34
,357,0.42,-0.07
39 Cet,373,0.9,0.44
,380,0.05,-0.02
,372,,
,374,,
89 Psc,378,0.07,0.08
,376,1.35,
,379,0.23,0.14
90 Upsilon Psc,383,0.03,0.1
42 Cet,385,0.64,0.32
34 Phi Cas,382,0.68,0.49
,375,0.92,
,388,1.11,1.03
,387,1.02,0.84
35 Cas,384,0.09,
91 Psc,389,1.39,
,381,0.28,0.07
46 Xi And,390,1.08,0.99
,394,0.48,
43 Cet,393,1.08,1.01
,392,1.52,1.86
,391,,
,397,1.71,
,400,1.61,2.05
,396,0.83,0.48
47 And,395,0.26,0.13
,386,0.39,-0.08
45 Theta Cet,402,1.06,0.93
44 Cet,401,0.23,0.09
,404,0.41,-0.05
,405,0.91,0.54
,408,1.04,0.86
,411,1.14,1.08
,406,0.96,0.71
,420,1.56,1.92
,407,0.43,0
46 Cet,412,1.23,1.26
,398,,
37 Delta Cas,403,0.13,0.12
36 Psi Cas,399,1.05,0.94
,410,0.47,0.01
93 Rho Psc,413,0.39,-0.1
,409,0.49,0.01
,416,1.24,1.27
94 Psc,414,1.11,1.05
47 Cet,421,0.35,0.02
,419,-0.04,-0.19
,423,3.86,7.4
,415,0.46,0.02
,418,0.27,0.03
48 Omega And,417,0.42,0
,425,1.32,1.36
,422,-0.04,-0.17
Gamma Phe,429,1.57,1.85
,426,1.12,1.08
,431,0.3,0.07
,435,1.66,1.87
48 Cet,433,0.02,0.04
97 Psc,432,0.14,0.14
49 And,430,1,0.82
98 Mu Psc,434,1.37,1.54
,436,1.34,1.41
,428,0.08,0.05
38 Cas,427,0.47,-0.11
Delta Phe,440,0.99,0.7
99 Eta Psc,437,0.97,0.75
,443,0.06,0.09
,441,1.08,
,438,-0.12,-0.42
,447,0.46,
,445,1.02,
,444,-0.04,-0.1
,439,1.52,1.15
,467,0.97,0.7
,448,0.64,0.21
,286,0.11,0.07
39 Chi Cas,442,1,0.76
,446,-0.07,-0.3
49 Cet,451,0.07,0.05
,450,1.52,1.8
,453,1.11,
,460,0.38,
101 Psc,455,-0.04,-0.21
,452,1.11,1
,457,,
50 Cet,459,1.21,1.2
Tau Scl,462,0.33,
,454,1.21,
,468,1.61,1.89
50 Upsilon And,458,0.54,0.06
102 Pi Psc,463,0.35,-0.02
,449,0.03,-0.16
,525,0.94,0.66
,466,0.53,0
Alpha Eri,472,-0.16,-0.66
,512,0.61,0.1
51 And,464,1.28,1.45
,461,1.38,1.43
,471,1.05,0.9
40 Cas,456,0.96,0.72
,465,0.04,-0.1
,479,0.44,0.11
,474,-0.08,-0.17
,473,0.34,
52 Chi And,469,0.89,0.55
105 Psc,475,1.12,
,486,0.9,0.59
,487,0.87,0.53
,470,1.61,1.98
53 Tau And,477,-0.09,-0.41
,476,0.21,0.14
,484,0.44,0
Tau1 Hyi,516,0.94,0.69
106 Nu Psc,489,1.36,1.57
,494,0.42,0.04
,485,1.01,0.84
,501,0.12,0.12
,492,0.44,-0.01
,483,0.62,0.12
,505,1.27,
,498,-0.01,
,481,-0.03,-0.41
,490,-0.07,-0.2
Pi Scl,497,1.05,0.79
,482,-0.02,-0.45
43 Cas,478,-0.07,-0.23
,506,0.53,0
107 Psc,493,0.84,0.49
,500,1.38,1.58
42 Cas,480,-0.04,
,488,0.01,-0.45
,495,1.01,0.92
44 Cas,491,-0.02,-0.32
Phi Per,496,-0.04,-0.93
,503,,
,507,1.54,1.9
52 Tau Cet,509,0.72,0.21
,499,0.1,0.03
,504,,
,502,0.04,0.06
109 Psc,508,0.75,0.23
110 Omicron Psc,510,0.96,0.71
Epsilon Scl,514,0.39,0.02
,513,1.52,1.88
,517,0.36,
,519,1.6,1.95
,520,0.04,0.05
,515,0.25,0.17
,524,1.54,1.91
,511,0.81,0.4
Tau2 Hyi,550,0.34,0.04
,528,1.02,
,518,0.43,0
4 Ari,522,-0.03,-0.12
,527,0.97,0.74
,521,0.97,0.71
,523,0.55,-0.01
,526,0.29,0.07
,532,1.22,
53 Chi Cet,531,0.33,0.03
,535,0.52,
1 Ari,530,0.74,0.5
,537,1.01,0.88
,534,0.3,-0.03
,541,0.14,
,529,0.43,0.02
55 Zeta Cet,539,1.14,1.07
1 Per,533,-0.18,-0.83
2 Per,536,-0.07,-0.3
,538,,
,547,0.27,0.09
2 Alpha Tri,544,0.49,0.06
55 And,543,1.32,1.41
,554,1.12,
