bf,HR,BV,UB
26 Cam,1969,0.17,0.12
,1988,0.78,0.42
129 Tau,1985,-0.06,-0.44
,1987,0.88,0.58
14 Zeta Lep,1998,0.1,0.07
,2005,-0.15,
,2000,0.89,
,2023,1.4,
131 Tau,1989,0.04,0.16
,1979,1.35,1.59
Beta Pic,2020,0.17,0.1
,2009,1.18,
130 Tau,1990,0.3,0.27
,2001,0.16,
133 Tau,1993,-0.17,-0.66
53 Kappa Ori,2004,-0.17,-1.03
Lambda Men,2062,1.08,0.97
,2017,1.12,
52 Ori,1999,0.23,0.17
,1997,-0.08,-0.38
,2007,0.64,0.1
132 Tau,2002,1.01,0.81
,1976,,
29 Tau Aur,1995,0.94,0.7
134 Tau,2010,-0.07,-0.17
,2032,1.27,
,2021,0.88,
Gamma Pic,2042,1.1,0.98
,2026,0.06,
Epsilon Dor,2064,-0.14,-0.49
,2014,0.87,0.62
,2019,1.36,1.57
Kappa Men,2125,-0.08,-0.24
,2044,0.76,
135 Tau,2016,1.01,
,2024,0.91,0.3
29 Cam,1992,,
,2049,0.99,0.72
,2003,1.05,
Beta Col,2040,1.16,1.21
,2013,0.97,
31 Upsilon Aur,2011,1.62,1.93
15 Delta Lep,2035,0.99,0.68
55 Ori,2031,-0.2,-0.83
,2073,0.86,0.57
,2018,1.75,2
,2036,1.02,
32 Nu Aur,2012,1.13,1.09
,2043,1.48,1.72
,2039,0.1,0.08
30 Cam,2006,-0.04,-0.13
,2072,0.66,
137 Tau,2033,-0.05,-0.06
,2030,0.54,-0.01
56 Ori,2037,1.38,1.47
,2053,1.04,0.87
,2025,0.09,0.17
,2028,1.6,1.97
,2055,1.08,
,1994,0.95,
Lambda Col,2056,-0.15,-0.57
,2038,-0.07,-0.33
136 Tau,2034,-0.02,0.03
,2069,1.37,
,2060,0.1,
,2102,1.05,0.96
,2083,0.9,0.63
,2104,0.38,0.1
,2048,1.47,1.43
,2068,0.37,
,2051,1.29,1.47
54 Chi1 Ori,2047,0.59,0.07
,2050,0.03,0.02
,2058,-0.18,-0.81
,2089,-0.13,
,2065,1.53,1.84
,2057,1.34,1.45
,2094,0.31,0
30 Xi Aur,2029,0.05,0.12
,2082,1.51,1.85
57 Ori,2052,-0.17,-0.74
31 Cam,2027,0.02,0.03
,2046,0.14,0.13
58 Alpha Ori,2061,1.85,2.06
Xi Col,2087,1.11,
,2070,1.18,1.21
,2071,0.06,0.07
,2063,0.99,0.43
,2067,0.65,0.13
,2086,1.11,0.99
,2045,,
Sigma Col,2092,,
16 Eta Lep,2085,0.33,0.01
,2075,-0.07,-0.15
,2066,0.3,0.26
,2090,1.07,
,2098,1.07,
,2076,1.1,
,2074,0.39,-0.19
,2054,0.99,
,2114,1.48,
Gamma Col,2106,-0.18,-0.66
,2041,1.36,1.64
,2093,1.48,1.84
139 Tau,2084,-0.06,-0.93
,2097,1.14,1.2
59 Ori,2100,0.21,0.17
,2117,1.07,0.87
60 Ori,2103,0.01,0.01
,2099,0.89,0.63
1 Mon,2107,0.29,0.1
2 Mon,2108,0.19,0.16
Eta Col,2120,1.14,1.08
,2081,1.23,
33 Delta Aur,2077,1,0.87
34 Beta Aur,2088,0.03,0.05
,2109,-0.07,-0.39
37 Theta Aur,2095,-0.08,-0.18
,2079,0.31,0.12
,2080,1.2,1.33
35 Pi Aur,2091,1.72,1.83
,2113,1.22,1.21
,2118,0.36,
,2096,,
,2138,0.2,
36 Aur,2101,-0.01,-0.12
,2111,0.25,-0.26
,2110,0.08,0.14
,2129,0.02,
,2131,1.58,1.94
,1885,1.57,1.9
,2116,-0.07,-0.28
,2105,1.45,
3 Mon,2128,-0.12,-0.6
,2151,1.58,1.81
,2127,-0.05,-0.27
61 Mu Ori,2124,0.16,0.11
,2136,0.96,
,2112,-0.06,-0.1
,2115,,
,2122,0.42,-0.01
,2140,1.34,1.44
38 Aur,2119,0.97,0.78
,2133,-0.04,-0.03
64 Ori,2130,-0.11,-0.43
62 Chi2 Ori,2135,0.28,-0.68
1 Gem,2134,0.82,0.52
,2142,-0.06,-0.85
,2149,-0.19,-0.82
,2157,0.52,0
,2123,0.18,0.16
,2158,0.49,-0.01
,2162,0.72,0.27
63 Ori,2144,1.04,0.83
66 Ori,2145,1.04,0.75
17 Lep,2148,0.24,0.12
,2137,,
39 Aur,2132,0.3,0.06
,2121,1.1,1.1
,2078,,
,2150,0.37,0.04
,2160,0.02,
,2139,-0.08,-0.26
,2156,1.63,1.3
,2164,0.05,
,2141,0.6,0.06
18 Theta Lep,2155,0.05,0.02
Eta1 Dor,2194,-0.03,-0.07
,2146,1.73,1.94
,2163,0.08,0.09
40 Aur,2143,0.25,0.15
,2154,-0.13,-0.54
,2126,,
Pi1 Col,2171,0.25,0.12
,2161,-0.15,
,2166,1.64,1.79
,2178,1.16,1.13
,2196,1.25,1.35
,2170,-0.13,-0.55
,2147,1.22,
Theta Col,2177,-0.11,
67 Nu Ori,2159,-0.17,-0.66
19 Lep,2168,1.68,1.96
Pi2 Col,2181,0,
,2153,1.05,0.83
,2187,-0.15,
Nu Dor,2221,-0.08,-0.21
,2167,-0.07,-0.17
,2180,-0.01,
,2174,0.07,0.06
,2182,-0.03,
,2204,0.52,
,2169,1.63,
,2183,1.16,1.2
,2179,0.34,0.01
3 Gem,2173,0.21,-0.63
,2192,1.01,0.78
,2186,0.44,-0.05
37 Cam,2152,1.09,0.92
,2203,1.68,2
Alpha Men,2261,0.72,0.33
Delta Pic,2212,-0.23,-1.03
,2200,1.07,0.98
,2211,-0.03,-0.04
,2195,0.01,0.03
,2184,1.35,1.44
,2206,-0.04,
Eta2 Dor,2245,1.62,1.86
,2191,0,0.04
5 Gem,2185,1.11,
41 Aur,2175,,
41 Aur,2176,0.1,0.08
,2202,-0.08,-0.37
,2172,0.14,0.08
,2190,2.25,1.77
,2205,-0.2,-0.78
70 Xi Ori,2199,-0.18,-0.65
68 Ori,2193,-0.07,-0.11
69 Ori,2198,-0.14,-0.58
6 Gem,2197,2.24,2.48
,2189,1.66,
,2210,0.05,0.08
,2213,-0.17,
36 Cam,2165,1.34,1.44
,2208,0.67,0.15
,2226,-0.1,
,2207,-0.08,-0.43
,2225,0.72,
,2188,1.06,
,2218,0.94,0.64
,2214,0.22,0.15
,2224,-0.17,-0.65
71 Ori,2220,0.44,0
5 Gamma Mon,2227,1.32,1.41
7 Eta Gem,2216,1.6,1.66
,2283,0.56,0.01
,2242,1.32,2.43
,2222,-0.23,-0.95
,2243,1.06,0.96
44 Kappa Aur,2219,1.02,0.8
72 Ori,2223,-0.14,-0.46
,2237,-0.08,-0.31
,2234,0.09,0.1
,2233,0.5,0
,2217,0.45,-0.02
,2231,-0.13,-0.52
40 Cam,2201,1.34,
,2244,-0.08,-0.23
73 Ori,2229,-0.02,-0.13
,2232,-0.17,-0.65
,2236,0.46,-0.01
,2252,1.55,
,2249,-0.17,-0.75
,2274,0.59,0.14
8 Gem,2230,0.9,0.62
,2246,-0.05,-0.44
,2235,1.58,1.79
74 Ori,2241,0.42,-0.02
Kappa Col,2256,1,0.83
,2262,0.16,
,2248,-0.12,-0.51
9 Gem,2240,0.45,-0.38
,2263,1.14,1.11
,2254,0.56,0.07
75 Ori,2247,0.1,0.09
,2265,0.14,
,2251,0.61,0.1
,2250,-0.03,-0.1
42 Aur,2228,0.27,0.09
6 Mon,2255,0.35,0.2
,2260,1.3,1.23
,2278,1.46,
1 Lyn,2215,1.83,2.06
,2253,0.01,0.03
,2266,-0.18,
43 Aur,2239,1.11,1.12
,2259,0.87,0.52
,2281,0.83,
,2268,1.66,1.87
,2267,1.24,1.32
,2209,0.03,0
,2271,-0.15,
,2258,-0.07,-0.3
,2270,-0.04,-0.14
2 Lyn,2238,0.01,0.03
,2279,-0.08,-0.26
7 Mon,2273,-0.19,-0.75
,2275,1.6,1.96
,2269,1.61,1.87
,2290,0.66,0.2
1 Zeta CMa,2282,-0.19,-0.72
,2288,-0.19,-0.88
,2276,-0.1,-0.56
,2272,0.06,0.01
,2284,-0.02,-0.85
,2280,0.24,0.09
,2277,,
45 Aur,2264,0.43,0.12
4 Lyn,2257,,
Delta Col,2296,0.88,0.52
,2287,,
Pi1 Dor,2352,1.51,1.83
2 Beta CMa,2294,-0.23,-0.98
Nu Pic,2320,0.24,0.13
13 Mu Gem,2286,1.64,1.85
,2337,1.6,2.01
,2307,0.89,
,2292,-0.15,-0.63
,2295,0.06,0.01
,2301,1.84,2.05
,2322,1.04,
,2303,1.53,
8 Epsilon Mon,2298,0.18,0.13
,2299,0.45,-0.05
,2336,0.12,
,2306,-0.15,-0.64
,2311,1.56,1.9
Alpha Car,2326,0.15,0.1
,2316,1.04,0.87
,2300,-0.08,-0.31
,2305,1.24,1.2
,2345,0,-0.01
,2309,-0.08,-0.63
,2354,0.66,
,2318,0.62,
,2323,-0.05,
,2341,1.7,
,2297,-0.06,-0.39
,2302,1.08,0.91
46 Psi1 Aur,2289,1.97,2.29
,2360,-0.13,-0.45
,2310,1.22,1.04
,2313,0.56,0.08
,2312,-0.04,-0.22
,2308,2.34,3.4
Pi2 Dor,2377,0.97,0.67
,2329,1.36,1.59
,2304,-0.03,0.07
,2348,-0.06,-0.16
,2315,-0.03,-0.07
,2317,1.02,0.77
,2321,0.14,0.12
,2291,0.24,0.12
,2325,-0.14,-0.62
,2324,0.08,0.09
,2328,-0.04,-0.1
5 Lyn,2293,1.53,1.88
,2327,0.04,0
,2369,1.28,
,2353,0.39,
,2349,0.53,0.05
,2334,1.18,1.13
,2335,1.38,1.61
,2333,1.04,0.86
,2319,1.26,
,2314,-0.04,-0.12
16 Gem,2330,0.01,0.18
10 Mon,2344,-0.17,-0.76
Lambda CMa,2361,-0.17,-0.61
,2285,,
,2347,-0.07,-0.16
,2342,1.15,1.18
,2340,0.9,0.6
48 Aur,2332,0.68,0.5
,2359,1.12,
,2364,-0.17,-0.65
,2368,0.4,
11 Beta Mon,2356,-0.1,-0.63
11 Beta Mon,2357,-0.07,-0.52
11 Beta Mon,2358,,
,2339,,
18 Nu Gem,2343,-0.13,-0.48
,2351,,
,2355,1.54,1.86
,2389,1.09,
,2384,0.41,
47 Aur,2338,1.44,
,2408,0.33,0.06
,2362,0.14,-0.06
,2367,1.38,
,2373,-0.15,
,2380,-0.15,-0.67
6 Lyn,2331,0.94,0.66
,2390,1.4,
,2370,-0.08,-0.86
,2366,1.16,1.06
,2410,-0.15,
,2388,0.81,0.53
,2400,0.54,0.04
,2379,1.27,1.38
,2393,1.63,1.91
19 Gem,2371,,
,2374,-0.12,-0.42
,2375,0.15,0.13
,2381,1.38,1.52
4 Xi1 CMa,2387,-0.24,-0.99
Mu Pic,2412,-0.06,-0.18
12 Mon,2382,0.99,0.79
,2399,1,
,2386,0.25,0.07
,2378,1.07,
,2372,0.14,0.15
,2397,-0.17,-0.79
,2392,1.11,0.78
13 Mon,2385,0,-0.18
,2407,1,
,2416,1.09,
,2403,0.83,
,2391,1.11,
,2395,-0.14,-0.56
,2383,0.03,0.13
,2411,1.44,1.72
7 Lyn,2376,,
,2415,-0.08,-0.23
14 Mon,2404,-0.02,-0.03
,2435,-0.02,-0.15
5 Xi2 CMa,2414,-0.05,-0.03
49 Aur,2398,-0.03,-0.08
,2409,0,-0.45
,2406,1.51,1.85
,2424,-0.14,-0.48
,2431,0.48,
,2413,-0.06,-0.28
6 Nu1CMa,2423,0.85,0.49
,2405,2.61,
,2418,-0.08,-0.39
,2433,-0.11,-0.54
7 Nu2CMa,2429,1.06,1.01
,2428,1.56,
,2445,1.15,
,2444,1.03,0.84
,2446,-0.12,-0.51
,2422,0.05,-0.88
,2417,0.1,0.05
,2426,,
11 Lyn,2402,,
,2430,1.08,0.96
,2437,1,
8 Lyn,2394,0.89,0.52
24 Gamma Gem,2421,0,0.04
Nu Pup,2451,-0.11,-0.41
,2447,1.18,1.12
,2432,0.14,-0.74
8 Nu3 CMa,2443,1.15,1.04
,2365,0.38,0.01
,2468,0.62,0.12
,2440,1.48,1.77
53 Aur,2425,0,-0.07
,2448,0.03,0.1
,2462,0.87,0.6
,2442,0.15,-0.82
51 Aur,2419,1.35,1.56
52 Psi3 Aur,2420,-0.07,-0.4
,2441,-0.07,-0.33
,2436,1.03,
,2450,1.5,1.68
50 Psi2 Aur,2427,1.23,1.29
,2439,0.53,
54 Aur,2438,-0.08,-0.48
,2455,-0.03,-0.06
,2460,1.14,1.1
,2449,0.06,0.11
,2465,1.18,
,2434,,
Zeta Men,2559,0.2,0.15
,2346,,
,2363,1.47,
,2454,-0.14,-0.47
,2396,1.19,
,2476,1.58,1.92
,2505,1.11,1.07
15 Mon,2456,-0.25,-1.07
,2461,-0.1,-0.37
,2475,-0.14,-0.59
,2458,1.68,
25 Gem,2453,1.09,0.85
,2457,-0.01,-0.07
,2452,0.49,
,2469,1.53,1.89
,2467,-0.05,-0.94
,2482,0.34,0.13
26 Gem,2466,0.06,0.01
,2481,0.34,-0.02
55 Psi4 Aur,2459,1.48,1.83
,2474,1.37,1.6
,2464,1.03,
,2488,0.26,
,2531,0.96,0.66
,2479,-0.02,-0.89
27 Epsilon Gem,2473,1.4,1.46
30 Gem,2478,1.16,1.16
,2463,1.08,
,2471,0.06,0.11
10 CMa,2492,-0.12,-0.93
,2350,0.17,0.06
28 Gem,2480,1.45,1.64
,2493,0.54,-0.02
,2536,1.33,1.5
,2497,-0.11,-0.49
9 Alpha CMa,2491,0,-0.05
31 Xi Gem,2484,0.43,0.06
,2500,0.48,-0.03
,2495,1.2,1.29
,2513,1.08,
,2501,-0.19,-0.88
,2515,1.53,1.82
32 Gem,2489,,
,2498,0.07,0.12
,2507,-0.13,-0.5
,2510,-0.13,-0.64
12 Lyn,2470,0.08,0.08
,2401,0.5,-0.02
16 Mon,2494,-0.17,-0.69
,2502,-0.05,-0.11
,2524,0.86,
56 Psi5 Aur,2483,0.56,0.05
13 Lyn,2477,0.96,0.73
11 CMa,2504,-0.04,-0.25
,2523,1.34,1.24
,2848,0.42,-0.07
12 CMa,2509,-0.19,-0.62
,2526,1.52,
17 Mon,2503,1.4,1.65
,2518,-0.08,-0.25
,2499,0.07,0.01
,2508,1.8,1.88
57 Psi6 Aur,2487,1.12,1.04
18 Mon,2506,1.11,1.04
Alpha Pic,2550,0.21,0.13
,2486,0.47,
,2485,,
,2514,0.28,0.05
,2522,-0.1,-0.51
,2517,-0.13,-0.68
,2521,-0.1,0.46
,2512,1.29,
,2528,0.04,0.08
33 Gem,2519,-0.13,-0.52
13 Kappa CMa,2538,-0.23,-0.92
,2554,0.92,0.61
,2548,0.45,-0.02
Tau Pup,2553,1.2,1.21
,2546,1.51,1.83
,2562,0.46,
,2537,-0.18,-0.82
,2535,1.44,
,2545,0.14,-0.52
35 Gem,2525,1.34,
,2544,-0.18,-0.77
,2534,0,0.02
58 Psi7 Aur,2516,1.27,1.35
,2530,0.39,-0.07
,2549,1.38,1.56
42 Cam,2490,-0.17,-0.63
Iota Vol,2602,-0.11,-0.38
,2563,1.21,1.23
36 Gem,2529,-0.02,0.01
,2543,0.04,0.09
,2558,0.18,
,2533,1.45,1.96
,2552,0.99,0.76
,2575,0.42,0.12
,2592,0.18,
,2587,1.08,
,2579,-0.1,-0.38
34 Theta Gem,2540,0.1,0.14
,2551,0.26,0.1
,2567,1.53,2.29
59 Aur,2539,0.37,0.12
,2542,1.45,
14 Lyn,2520,0.65,
,2532,0.21,0.12
60 Aur,2541,0.49,
,2565,0.28,0.14
,2566,0.15,0.13
,2555,0.97,
15 CMa,2571,-0.21,-0.96
,2576,0.71,0.27
43 Cam,2511,-0.13,-0.43
,2578,0.01,0.1
61 Psi8Aur,2547,-0.05,-0.19
,2594,0.99,
16 Omicron1CMa,2580,1.73,1.99
,2570,0.17,0.16
14 Theta CMa,2574,1.43,1.7
,2583,-0.28,-0.89
,2572,0.18,0.16
,2591,2.24,2.79
38 Gem,2564,0.3,0.07
,2577,0.56,-0.35
,2582,1.1,0.85
17 CMa,2588,0.08,
,2557,0.32,0.19
,2556,0.94,0.65
37 Gem,2569,0.57,0
,2584,0.04,0.06
19 PicMa,2590,0.37,0.05
,2595,-0.18,-0.8
,2598,,
18 Mu CMa,2593,1.18,
20 Iota CMa,2596,-0.07,-0.7
,2608,1.69,1.92
,2589,-0.08,-0.35
Psi9 Aur,2568,-0.06,-0.45
Theta Men,2689,0.05,-0.07
,2604,1.29,
,2573,1.08,
,2599,0.64,0.26
,2586,0.88,
,2561,1.49,1.75
,2603,-0.19,-0.8
15 Lyn,2560,0.85,0.52
,2612,0.46,-0.04
,2597,0.34,0.27
,2607,0.36,0.03
16 Lyn,2585,0.03,0.05
,2611,-0.14,-0.66
,2614,-0.19,-0.82
,2619,-0.16,-0.65
,2616,-0.16,-0.7
,2638,0.39,
21 Epsilon CMa,2618,-0.21,-0.93
,2606,0.11,0.1
,2634,1.16,1.16
,2626,0,-0.06
,2621,-0.14,-0.61
39 Gem,2601,0.46,0.02
,2610,1.06,0.88
62 Aur,2600,1.23,1.17
,2613,-0.11,-0.47
40 Gem,2605,-0.11,-0.47
,2623,-0.15,-0.78
,2662,1.4,1.65
,2527,1.36,1.66
,2625,-0.15,-0.62
41 Gem,2615,1.66,1.82
,2622,0.57,0.09
,2628,-0.17,-0.82
,2624,-0.08,-0.34
,2627,0.21,-0.75
,2637,0.45,
,2641,1.05,
,2652,1.61,1.92
,2661,0.3,
,2640,-0.17,
,2620,0.27,0.14
,2581,1.33,
,2629,0.06,0.1
22 Sigma CMa,2646,1.73,1.88
,2636,1.28,1.36
,2633,-0.02,-0.64
,2639,1.68,2.05
,2658,-0.04,-0.09
,2632,,
42 Omega Gem,2630,0.94,0.68
,2631,1.63,
,2635,1.68,1.92
19 Mon,2648,-0.2,-0.93
24 Omicron2CMa,2653,-0.08,-0.8
,2674,-0.11,-0.47
,2647,0.12,0.11
,2643,0.6,0.04
,2649,1.39,1.62
23 Gamma CMa,2657,-0.12,-0.48
,2651,1.58,
,2672,0.13,0.12
,2667,0.64,0.04
,2656,-0.08,-0.31
,2668,0.8,0.36
,2666,0.2,0.15
,2655,1.29,1.24
43 Zeta Gem,2650,0.79,0.62
,2683,-0.04,
,2654,0.01,-0.07
,2664,1.22,1.35
,2645,-0.04,-0.23
,2687,,
44 Gem,2659,-0.03,-0.08
,2677,0.37,0.03
,2663,1.52,1.87
,2644,0.11,0.88
,2670,-0.05,-0.89
,2617,,
,2680,-0.16,-0.63
,2642,,
,2685,0.7,
,2660,0.91,0.55
,2712,1.04,0.87
,2679,-0.1,-0.99
,2678,0.05,-0.85
,2686,1.34,1.51
,2688,-0.17,-0.77
,2676,-0.13,-0.47
,2691,-0.17,-0.67
,2698,1,0.82
,2671,2.21,1.85
,2665,1.51,
,2690,-0.1,-0.89
,2669,-0.09,-0.25
,2682,1.18,1.08
,2673,1.34,1.54
45 Gem,2684,1.03,0.8
25 Delta CMa,2693,0.68,0.54
,2675,1.21,
Gamma1 Vol,2735,0.4,0.04
Gamma2 Vol,2736,1.04,0.88
,2695,-0.19,-0.81
,2702,-0.18,-0.69
,2694,0.03,-0.89
,2699,0.06,-0.79
,2704,-0.16,-0.77
,2692,0.89,0.5
,2705,0.4,
20 Mon,2701,1.03,0.78
,2708,1,
,2719,1.24,1.29
46 Tau Gem,2697,1.26,1.41
47 Gem,2700,0.1,0.13
21 Mon,2707,0.29,0.14
63 Aur,2696,1.45,1.74
,2716,-0.04,-0.05
,2710,-0.02,-0.05
22 Delta Mon,2714,-0.01,0.02
,2754,-0.02,
,2720,0.27,0.06
,2713,1.14,0.97
26 CMa,2718,-0.17,-0.71
,2727,0.06,0.09
,2724,0.19,
,2726,-0.14,-0.62
48 Gem,2706,0.36,0.09
,2740,0.32,-0.01
,2711,0.49,-0.02
,2723,1.51,1.76
,2746,-0.02,-0.07
51 Gem,2717,1.66,1.82
,2703,1.67,1.9
,2730,1.48,1.69
,2748,1.56,
,2734,-0.23,-1.01
,2741,-0.17,-0.76
,2733,-0.21,-0.83
,2743,-0.2,-0.83
,2681,1.12,
,2731,1.58,1.89
27 CMa,2745,-0.19,-0.71
,2732,1.52,1.72
,2729,1.19,1.18
,2722,-0.03,-0.07
,2739,-0.18,-0.97
,2728,1.01,0.77
,2762,-0.1,-0.29
52 Gem,2725,1.56,1.83
,2761,-0.11,-0.46
28 Omega CMa,2749,-0.17,-0.73
,2750,1.22,1.29
,2759,-0.16,
24 Mon,2744,0.9,0.57
,2756,-0.17,-0.65
,2767,1.1,
,2747,1.6,1.71
,2752,1.18,1.18
,2755,,
,2721,0.58,0.03
18 Lyn,2715,1.07,1.01
53 Gem,2738,1.63,2
,2758,0.08,0.06
,2771,1.44,1.67
,2769,-0.13,-0.59
,2766,1.6,1.88
,2764,1.71,1.87
,2770,-0.17,-0.69
Delta Vol,2803,0.79,0.45
,2768,0.2,0.19
Pi Pup,2773,1.62,1.24
,2760,-0.11,-0.41
,2765,1.62,1.96
,2737,1.26,
,2774,-0.15,-0.61
64 Aur,2753,0.17,0.12
,2757,-0.03,-0.1
,2789,-0.12,-0.48
54 Lambda Gem,2763,0.11,0.1
,2787,-0.1,-0.8
,2751,0.08,0.09
,2791,0.01,0.07
,2790,-0.16,-0.66
29 CMa,2781,-0.15,-1.01
30 Tau CMa,2782,-0.15,-0.99
,2786,0.96,0.65
,2785,0.62,0.35
,2794,1.31,
,2778,1.07,0.82
,2788,0.35,0.04
,2779,0.53,0.07
,2780,-0.02,0.07
55 Delta Gem,2777,0.34,0.04
,2813,0.42,-0.02
,2814,0.59,0.05
,2815,-0.07,
,2799,-0.15,
,2800,-0.17,-0.7
,2796,0.98,0.63
,2775,1.46,1.58
,2802,1.64,1.9
,2798,0.54,0.04
,2776,0.32,0
56 Gem,2795,1.52,1.87
,2806,-0.19,-1.04
65 Aur,2793,1.08,0.94
,2801,-0.07,-0.29
,2792,1.22,1.23
,2812,-0.04,-0.39
47 Cam,2772,,
,2807,0.68,0.35
,2811,0.35,0.19
19 Lyn,2783,,
19 Lyn,2784,,
,2819,-0.15,-0.68
58 Gem,2810,-0.01,-0.01
57 Gem,2808,0.9,0.57
,2822,1.53,1.83
,2823,-0.18,-0.69
,2824,-0.2,-0.79
,2829,-0.15,-0.55
31 Eta CMa,2827,-0.08,-0.72
66 Aur,2805,1.23,1.24
,2826,-0.09,-0.36
,2817,-0.18,-0.84
59 Gem,2816,0.34,0.08
,2825,-0.05,-0.6
,2834,1.07,0.91
,2842,0.22,0.15
,2843,0.27,0.15
,2831,0.29,0
,2804,1.61,1.96
1 CMi,2820,0.1,0.13
,2832,0.42,
,2839,0.23,
,2709,-0.04,-0.09
,2841,-0.1,-0.39
Epsilon Men,2919,1.28,1.42
2 Epsilon CMi,2828,1.01,0.78
,2847,-0.17,-0.7
60 Iota Gem,2821,1.03,0.85
,2833,0.92,0.62
,2838,-0.01,-0.11
,2862,1.06,
,2836,0.09,0.06
,2850,0.01,
,2840,-0.13,-0.46
,2856,-0.17,-0.68
21 Lyn,2818,-0.02,-0.01
,2835,0.46,
61 Gem,2837,0.3,0.1
,2855,-0.13,-0.98
,2853,0.32,
3 Beta CMi,2845,-0.09,-0.28
,2809,-0.09,-0.19
,2860,-0.09,-0.41
63 Gem,2846,0.39,-0.04
,2859,0.58,-0.21
,2863,-0.08,-0.15
5 Eta CMi,2851,0.22,0.17
4 Gamma CMi,2854,1.43,1.54
,2869,0.06,0.04
,2858,-0.05,-0.11
,2870,-0.17,-0.7
,2888,1.56,1.85
,2871,-0.15,-0.6
,2844,-0.1,-0.41
,2873,-0.19,-0.75
,2875,-0.16,
62 Rho Gem,2852,0.32,-0.03
Sigma Pup,2878,1.51,1.78
,2865,1.5,1.76
64 Gem,2857,0.11,0.12
,2868,0.47,-0.07
,2867,1.62,1.99
,2866,0.48,-0.02
6 CMi,2864,1.28,1.37
65 Gem,2861,1.11,1.03
,2874,0.23,0.14
22 Lyn,2849,0.45,-0.06
,2884,1.01,0.83
,2892,1.56,1.96
,2882,0.63,
,2881,0.93,0.64
,2876,1.18,1.06
,2830,1.11,0.89
,2742,1.66,1.8
,2885,-0.12,-0.57
,2889,-0.08,-0.36
,2877,1.13,
,2872,0.07,0.04
,2883,0.54,-0.08
7 Delta1 CMi,2880,0.22,0.2
,2895,-0.1,-0.36
,2879,1.01,0.77
,2900,0.17,0.11
8 Delta2 CMi,2887,0.31,0.1
,2908,0.92,
,2907,-0.12,-0.48
,2899,1.12,1.08
,2897,-0.04,-0.71
68 Gem,2886,0.05,0.06
,2902,1.41,0.29
,2911,-0.06,-0.72
,2917,1.13,
,2906,0.51,0.06
,2893,-0.01,-0.06
,2913,0.29,
9 Delta3 CMi,2901,-0.02,-0.09
,2909,0.44,0.03
,2910,,
,2912,-0.01,-0.05
,2916,1.06,
66 Alpha Gem,2891,0.03,0.01
66 Alpha Gem,2890,0.04,0.02
,2925,0.08,
,2797,,
,2904,0.22,0.15
,2896,1.01,0.85
,2979,-0.02,-0.24
,2980,,
,2922,-0.11,-0.4
,2934,1.4,1.63
69 Upsilon Gem,2905,1.54,1.94
,2898,,
,2941,1.18,
,2921,-0.12,-0.71
,3000,1.73,2.03
,2923,0.99,0.76
,2920,1.54,1.89
,2903,1.56,1.9
,2918,0.6,0.1
,2928,-0.19,-0.89
,2940,-0.06,
,2894,1.12,
25 Mon,2927,0.44,0.12
,2933,0.54,0.44
,2915,,
,2937,-0.09,-0.31
,2932,-0.01,-0.3
,2942,1.14,
,2945,1.48,
,2914,0.22,0.16
,2926,,
,2944,-0.11,-0.35
,2957,0.65,0.45
,2952,-0.05,-0.17
,2955,1.02,0.77
70 Gem,2924,0.93,
,2954,-0.16,-0.7
,2948,-0.17,-0.57
,2949,,
,2971,-0.11,-0.41
,2947,-0.1,-0.5
71 Omicron Gem,2930,0.4,0.11
,2931,0.01,0.04
10 Alpha CMi,2943,0.42,0.02
,2956,-0.1,-0.48
,2961,-0.19,-0.66
74 Gem,2938,1.56,1.92
,2963,-0.12,-0.49
,2964,-0.07,-0.54
,2936,0.35,0.13
,2968,-0.04,-0.46
,2950,-0.04,-0.18
,2960,1.16,1.07
,2935,1.63,1.95
,2959,1.56,1.8
,2609,1.63,1.97
,2958,0.15,0.11
,2972,-0.16,-0.64
,2953,,
23 Lyn,2929,1.46,1.65
,2974,1.18,0.85
,2951,1.58,1.86
,2939,1.01,
26 Alpha Mon,2970,1.02,0.88
,2981,-0.15,-0.56
,2984,0,-0.18
,2976,1.62,1.95
,2966,-0.04,-0.08
Zeta Vol,3024,1.04,0.83
,2965,1.67,1.99
,2986,-0.09,-0.4
,2967,1.64,1.91
,3006,-0.1,
,2962,,
,2988,0.99,0.8
,3012,1.05,0.84
,2998,0.78,0.32
24 Lyn,2946,0.08,0.08
,2982,1.02,0.74
,3005,0.07,
,2995,1.02,0.77
,2994,-0.13,-0.54
75 Sigma Gem,2973,1.12,0.97
,2978,0.93,
1 Pup,2993,1.63,1.96
,2992,0.06,
,3002,1.1,1.06
,3001,-0.16,-0.48
3 Pup,2996,0.18,-0.09
,2969,0,0
76 Gem,2983,1.54,1.89
,2989,0.2,0.14
,3007,0.31,0.01
,3038,-0.06,-0.09
,2987,,
77 Kappa Gem,2985,0.93,0.69
,3004,-0.19,
,3011,-0.11,-0.36
,3036,0.95,0.66
,3016,-0.1,-0.63
79 Gem,2991,0,0
,3017,1.73,1.72
,3020,-0.07,-0.41
78 Beta Gem,2990,1,0.85
2 Pup,3009,,
2 Pup,3010,0.11,
,3018,0.6,-0.06
,3031,0.39,
4 Pup,3015,0.33,0.09
,3014,1.38,1.68
81 Gem,3003,1.45,1.75
,3022,-0.11,-0.47
11 CMi,3008,0.01,-0.02
49 Cam,2977,0.26,0.13
,3025,-0.13,-0.67
,2999,1.58,1.94
